Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (field)	Opportunity (field)
0	6aad7cb3-5a62-4d26-99f2-8c88ef09a225	solve_triangle/Right triangle: a=3, b=4	1	normalize_inputs	11/15/2025 05:34:48	11/15/2025 05:34:48		11/15/2025 05:34:48	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	b095b517-963d-413a-92bc-61daee090caa	solve_triangle/SAS: a=7, b=8, C=60.	1	normalize_inputs	11/15/2025 05:38:19	11/15/2025 05:38:19		11/15/2025 05:38:19	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	8623921a-3070-4b8e-9640-4e6bba47a877	solve_triangle/SAS: a=7, b=8, C=60.	1	normalize_inputs	11/15/2025 05:38:43	11/15/2025 05:38:43		11/15/2025 05:38:43	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	6f8b9a47-10b3-4d29-8372-eaa9fb012a94	solve_triangle/ASA: A=30, C=60, a=10	1	normalize_inputs	11/21/2025 03:49:20	11/21/2025 03:49:20		11/21/2025 03:49:20	hint	0	0	1	Single-KC	1	normalize_inputs	1
1	6f8b9a47-10b3-4d29-8372-eaa9fb012a94	solve_triangle/ASA: A=30, C=60, a=10	1	classify_triangle	11/21/2025 03:49:21	11/21/2025 03:49:21		11/21/2025 03:49:21	hint	0	0	1	Single-KC	2	classify_triangle	1
2	6f8b9a47-10b3-4d29-8372-eaa9fb012a94	solve_triangle/ASA: A=30, C=60, a=10	1	resolve_ssa_ambiguity	11/21/2025 03:49:22	11/21/2025 03:49:22		11/21/2025 03:49:22	hint	0	0	1	Single-KC	3	resolve_ssa_ambiguity	1
0	f9de9ba9-b99c-44af-98c9-fc2d89f9a9b2	solve_triangle/ASA: A=30, C=60, a=10	1	normalize_inputs	11/21/2025 21:09:15	11/21/2025 21:09:15		11/21/2025 21:09:15	hint	0	0	1	Single-KC	1	normalize_inputs	1
1	f9de9ba9-b99c-44af-98c9-fc2d89f9a9b2	solve_triangle/ASA: A=30, C=60, a=10	1	classify_triangle	11/21/2025 21:09:16	11/21/2025 21:09:16		11/21/2025 21:09:16	hint	0	0	1	Single-KC	2	classify_triangle	1
2	f9de9ba9-b99c-44af-98c9-fc2d89f9a9b2	solve_triangle/ASA: A=30, C=60, a=10	1	resolve_ssa_ambiguity	11/21/2025 21:09:17	11/21/2025 21:09:17		11/21/2025 21:09:17	hint	0	0	1	Single-KC	3	resolve_ssa_ambiguity	1
0	f9b1b785-72a0-4b8e-a0ae-c36a3e1e6175	solve_triangle/SAS: a=7, b=8, C=60.	1	normalize_inputs	11/21/2025 21:14:53	11/21/2025 21:14:53		11/21/2025 21:14:53	hint	0	0	1	Single-KC	1	normalize_inputs	1
1	f9b1b785-72a0-4b8e-a0ae-c36a3e1e6175	solve_triangle/SAS: a=7, b=8, C=60.	1	classify_triangle	11/21/2025 21:14:54	11/21/2025 21:14:54		11/21/2025 21:14:54	hint	0	0	1	Single-KC	2	classify_triangle	1
2	f9b1b785-72a0-4b8e-a0ae-c36a3e1e6175	solve_triangle/SAS: a=7, b=8, C=60.	1	compute_unknown_by_cosine	11/21/2025 21:14:55	11/21/2025 21:14:55		11/21/2025 21:14:55	hint	0	0	1	Single-KC	3	compute_unknown_by_cosine	1
3	f9b1b785-72a0-4b8e-a0ae-c36a3e1e6175	solve_triangle/SAS: a=7, b=8, C=60.	1	backfill_with_sines_if_needed	11/21/2025 21:14:56	11/21/2025 21:14:56		11/21/2025 21:14:56	hint	0	0	1	Single-KC	4	backfill_with_sines_if_needed	1
4	f9b1b785-72a0-4b8e-a0ae-c36a3e1e6175	solve_triangle/SAS: a=7, b=8, C=60.	1	consistency_checks	11/21/2025 21:14:57	11/21/2025 21:14:57	11/21/2025 21:25:01	11/21/2025 21:25:01	hint	0	603	2	Single-KC	5	consistency_checks	1
0	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	1	normalize_inputs	11/21/2025 21:22:05	11/21/2025 21:22:05		11/21/2025 21:22:05	hint	0	0	1	Single-KC	1	normalize_inputs	1
1	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	1	classify_triangle	11/21/2025 21:22:06	11/21/2025 21:22:06		11/21/2025 21:22:06	hint	0	0	1	Single-KC	2	classify_triangle	1
2	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	1	resolve_ssa_ambiguity	11/21/2025 21:22:07	11/21/2025 21:22:07		11/21/2025 21:22:07	hint	0	0	1	Single-KC	3	resolve_ssa_ambiguity	1
3	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	1	compute_missing_angles	11/21/2025 21:22:08	11/21/2025 21:22:08		11/21/2025 21:22:08	hint	0	0	1	Single-KC	4	compute_missing_angles	1
4	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	1	compute_missing_sides	11/21/2025 21:22:09	11/21/2025 21:22:09		11/21/2025 21:22:09	hint	0	0	1	Single-KC	5	compute_missing_sides	1
5	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	1	consistency_checks	11/21/2025 21:22:10	11/21/2025 21:22:10		11/21/2025 21:22:10	hint	0	0	1	Single-KC	6	consistency_checks	1
6	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	1	report_solution	11/21/2025 21:22:11	11/21/2025 21:22:11		11/21/2025 21:22:11	hint	0	0	1	Single-KC	7	report_solution	1
7	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	1	done	11/21/2025 21:22:12	11/21/2025 21:22:12		11/21/2025 21:22:12	hint	0	0	1	Single-KC	8	done	1
8	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	resolve_ssa_ambiguity	11/21/2025 21:22:14	11/21/2025 21:22:14		11/21/2025 21:22:22	incorrect	2	0	0	Single-KC	9	resolve_ssa_ambiguity	2
9	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	compute_missing_sides	11/21/2025 21:22:15	11/21/2025 21:22:15		11/21/2025 21:22:15	incorrect	1	0	0	Single-KC	10	compute_missing_sides	2
10	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	normalize_inputs	11/21/2025 21:22:16	11/21/2025 21:22:16	11/21/2025 21:22:16	11/21/2025 21:22:16	correct	0	1	0	Single-KC	11	normalize_inputs	2
11	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	done	11/21/2025 21:22:17	11/21/2025 21:22:17		11/21/2025 21:22:29	incorrect	2	0	1	Single-KC	12	done	2
12	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	classify_triangle	11/21/2025 21:22:18	11/21/2025 21:22:18		11/21/2025 21:22:21	incorrect	1	0	1	Single-KC	13	classify_triangle	2
13	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	compute_missing_angles	11/21/2025 21:22:19	11/21/2025 21:22:19		11/21/2025 21:22:25	incorrect	2	0	0	Single-KC	14	compute_missing_angles	2
14	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	report_solution	11/21/2025 21:22:20	11/21/2025 21:22:20	11/21/2025 21:22:28	11/21/2025 21:22:28	incorrect	1	1	0	Single-KC	15	report_solution	2
15	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	compute_unknown_by_cosine	11/21/2025 21:22:24	11/21/2025 21:22:24		11/21/2025 21:22:24	hint	0	0	1	Single-KC	16	compute_unknown_by_cosine	1
16	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	backfill_with_sines_if_needed	11/21/2025 21:22:26	11/21/2025 21:22:26		11/21/2025 21:22:26	hint	0	0	1	Single-KC	17	backfill_with_sines_if_needed	1
17	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	1	consistency_checks	11/21/2025 21:22:27	11/21/2025 21:22:27	11/21/2025 21:22:27	11/21/2025 21:22:27	correct	0	1	0	Single-KC	18	consistency_checks	2
18	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	classify_triangle	11/21/2025 21:22:31	11/21/2025 21:22:31	11/21/2025 21:23:14	11/21/2025 21:23:14	incorrect	2	4	0	Single-KC	19	classify_triangle	3
19	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	compute_unknown_by_cosine	11/21/2025 21:22:33	11/21/2025 21:22:33		11/21/2025 21:22:47	incorrect	4	0	0	Single-KC	20	compute_unknown_by_cosine	2
20	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	normalize_inputs	11/21/2025 21:22:34	11/21/2025 21:22:34	11/21/2025 21:23:13	11/21/2025 21:23:13	correct	0	4	0	Single-KC	21	normalize_inputs	3
21	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	backfill_with_sines_if_needed	11/21/2025 21:22:36	11/21/2025 21:22:36		11/21/2025 21:23:06	incorrect	3	0	0	Single-KC	22	backfill_with_sines_if_needed	2
22	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	consistency_checks	11/21/2025 21:22:38	11/21/2025 21:22:38	11/21/2025 21:23:18	11/21/2025 21:23:18	incorrect	2	4	0	Single-KC	23	consistency_checks	3
23	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	resolve_ssa_ambiguity	11/21/2025 21:22:39	11/21/2025 21:22:39	11/21/2025 21:23:15	11/21/2025 21:23:15	correct	0	4	0	Single-KC	24	resolve_ssa_ambiguity	3
24	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	compute_missing_sides	11/21/2025 21:22:42	11/21/2025 21:22:42	11/21/2025 21:23:17	11/21/2025 21:23:17	incorrect	1	4	0	Single-KC	25	compute_missing_sides	3
25	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	compute_missing_angles	11/21/2025 21:22:43	11/21/2025 21:22:43	11/21/2025 21:23:16	11/21/2025 21:23:16	correct	0	4	0	Single-KC	26	compute_missing_angles	3
26	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	report_solution	11/21/2025 21:22:48	11/21/2025 21:22:48	11/21/2025 21:23:19	11/21/2025 21:23:19	correct	1	4	0	Single-KC	27	report_solution	3
27	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/ASA: A=30, C=60, a=10	2	done	11/21/2025 21:22:49	11/21/2025 21:22:49	11/21/2025 21:23:20	11/21/2025 21:23:20	correct	2	4	0	Single-KC	28	done	3
28	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	compute_unknown_by_cosine	11/21/2025 21:23:22	11/21/2025 21:23:22	11/21/2025 21:23:25	11/21/2025 21:23:25	incorrect	1	1	0	Single-KC	29	compute_unknown_by_cosine	3
29	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	normalize_inputs	11/21/2025 21:23:23	11/21/2025 21:23:23	11/21/2025 21:23:23	11/21/2025 21:23:23	correct	0	1	0	Single-KC	30	normalize_inputs	4
30	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	classify_triangle	11/21/2025 21:23:24	11/21/2025 21:23:24	11/21/2025 21:23:24	11/21/2025 21:23:24	correct	0	1	0	Single-KC	31	classify_triangle	4
31	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	report_solution	11/21/2025 21:23:26	11/21/2025 21:23:26	11/21/2025 21:23:31	11/21/2025 21:23:31	incorrect	2	1	0	Single-KC	32	report_solution	4
32	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	compute_missing_sides	11/21/2025 21:23:27	11/21/2025 21:23:27		11/21/2025 21:23:27	incorrect	1	0	0	Single-KC	33	compute_missing_sides	4
33	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	backfill_with_sines_if_needed	11/21/2025 21:23:28	11/21/2025 21:23:28	11/21/2025 21:23:28	11/21/2025 21:23:28	correct	0	1	0	Single-KC	34	backfill_with_sines_if_needed	3
34	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	consistency_checks	11/21/2025 21:23:30	11/21/2025 21:23:30	11/21/2025 21:23:30	11/21/2025 21:23:30	correct	0	1	0	Single-KC	35	consistency_checks	4
35	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	compute_missing_angles	11/21/2025 21:23:32	11/21/2025 21:23:32		11/21/2025 21:23:32	incorrect	1	0	0	Single-KC	36	compute_missing_angles	4
36	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	2	done	11/21/2025 21:23:33	11/21/2025 21:23:33	11/21/2025 21:23:33	11/21/2025 21:23:33	correct	0	1	0	Single-KC	37	done	4
37	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	normalize_inputs	11/21/2025 21:23:35	11/21/2025 21:23:35	11/21/2025 21:23:58	11/21/2025 21:23:58	correct	0	3	0	Single-KC	38	normalize_inputs	5
38	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	classify_triangle	11/21/2025 21:23:36	11/21/2025 21:23:36	11/21/2025 21:23:59	11/21/2025 21:23:59	correct	0	3	0	Single-KC	39	classify_triangle	5
39	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	compute_unknown_by_cosine	11/21/2025 21:23:37	11/21/2025 21:23:37		11/21/2025 21:23:52	incorrect	2	0	0	Single-KC	40	compute_unknown_by_cosine	4
40	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	apply_pythagorean	11/21/2025 21:23:38	11/21/2025 21:23:38	11/21/2025 21:24:00	11/21/2025 21:24:00	hint	0	2	1	Single-KC	41	apply_pythagorean	1
41	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	done	11/21/2025 21:23:39	11/21/2025 21:23:39	11/21/2025 21:24:04	11/21/2025 21:24:04	incorrect	1	3	0	Single-KC	42	done	5
42	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	report_solution	11/21/2025 21:23:40	11/21/2025 21:23:40	11/21/2025 21:24:03	11/21/2025 21:24:03	incorrect	1	3	0	Single-KC	43	report_solution	5
43	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	use_trig_ratios	11/21/2025 21:23:41	11/21/2025 21:23:41	11/21/2025 21:24:01	11/21/2025 21:24:01	hint	0	2	1	Single-KC	44	use_trig_ratios	1
44	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	compute_missing_angles	11/21/2025 21:23:42	11/21/2025 21:23:42		11/21/2025 21:23:54	incorrect	2	0	0	Single-KC	45	compute_missing_angles	5
45	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	consistency_checks	11/21/2025 21:23:43	11/21/2025 21:23:43	11/21/2025 21:24:02	11/21/2025 21:24:02	hint	0	2	1	Single-KC	46	consistency_checks	5
46	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/Right triangle: a=3, b=4	1	backfill_with_sines_if_needed	11/21/2025 21:23:50	11/21/2025 21:23:50		11/21/2025 21:23:50	incorrect	1	0	0	Single-KC	47	backfill_with_sines_if_needed	4
47	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	3	use_trig_ratios	11/21/2025 21:24:06	11/21/2025 21:24:06		11/21/2025 21:24:10	incorrect	2	0	0	Single-KC	48	use_trig_ratios	2
48	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	3	apply_pythagorean	11/21/2025 21:24:07	11/21/2025 21:24:07		11/21/2025 21:24:07	incorrect	1	0	0	Single-KC	49	apply_pythagorean	2
49	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	3	normalize_inputs	11/21/2025 21:24:08	11/21/2025 21:24:08	11/21/2025 21:24:08	11/21/2025 21:24:08	correct	0	1	0	Single-KC	50	normalize_inputs	6
50	ea26ec12-65ec-483c-9ea3-c83c7c1dd336	solve_triangle/SAS: a=7, b=8, C=60.	3	classify_triangle	11/21/2025 21:24:09	11/21/2025 21:24:09	11/21/2025 21:24:09	11/21/2025 21:24:09	correct	0	1	0	Single-KC	51	classify_triangle	6
0	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/SAS: a=7, b=8, C=60.	1	normalize_inputs	11/21/2025 21:23:24	11/21/2025 21:23:24		11/21/2025 21:23:24	hint	0	0	1	Single-KC	1	normalize_inputs	1
1	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/SAS: a=7, b=8, C=60.	1	classify_triangle	11/21/2025 21:23:25	11/21/2025 21:23:25		11/21/2025 21:23:25	hint	0	0	1	Single-KC	2	classify_triangle	1
2	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/SAS: a=7, b=8, C=60.	1	compute_unknown_by_cosine	11/21/2025 21:23:26	11/21/2025 21:23:26		11/21/2025 21:23:26	hint	0	0	1	Single-KC	3	compute_unknown_by_cosine	1
3	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/SAS: a=7, b=8, C=60.	1	backfill_with_sines_if_needed	11/21/2025 21:23:27	11/21/2025 21:23:27		11/21/2025 21:23:27	hint	0	0	1	Single-KC	4	backfill_with_sines_if_needed	1
4	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/SAS: a=7, b=8, C=60.	1	consistency_checks	11/21/2025 21:23:28	11/21/2025 21:23:28		11/21/2025 21:23:28	hint	0	0	1	Single-KC	5	consistency_checks	1
5	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/SAS: a=7, b=8, C=60.	1	report_solution	11/21/2025 21:23:29	11/21/2025 21:23:29		11/21/2025 21:23:29	hint	0	0	1	Single-KC	6	report_solution	1
6	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/SAS: a=7, b=8, C=60.	1	done	11/21/2025 21:23:30	11/21/2025 21:23:30		11/21/2025 21:23:30	hint	0	0	1	Single-KC	7	done	1
7	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	done	11/21/2025 21:23:32	11/21/2025 21:23:32	11/21/2025 21:24:03	11/21/2025 21:24:03	incorrect	3	1	1	Single-KC	8	done	2
8	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	report_solution	11/21/2025 21:23:33	11/21/2025 21:23:33	11/21/2025 21:24:02	11/21/2025 21:24:02	incorrect	3	2	0	Single-KC	9	report_solution	2
9	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	consistency_checks	11/21/2025 21:23:34	11/21/2025 21:23:34	11/21/2025 21:24:01	11/21/2025 21:24:01	incorrect	3	1	1	Single-KC	10	consistency_checks	2
10	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	normalize_inputs	11/21/2025 21:23:35	11/21/2025 21:23:35	11/21/2025 21:23:49	11/21/2025 21:23:49	correct	0	2	0	Single-KC	11	normalize_inputs	2
11	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	backfill_with_sines_if_needed	11/21/2025 21:23:36	11/21/2025 21:23:36		11/21/2025 21:23:59	incorrect	3	0	0	Single-KC	12	backfill_with_sines_if_needed	2
12	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	classify_triangle	11/21/2025 21:23:37	11/21/2025 21:23:37	11/21/2025 21:23:51	11/21/2025 21:23:51	correct	0	2	0	Single-KC	13	classify_triangle	2
13	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	resolve_ssa_ambiguity	11/21/2025 21:23:38	11/21/2025 21:23:38	11/21/2025 21:23:54	11/21/2025 21:23:54	hint	0	1	1	Single-KC	14	resolve_ssa_ambiguity	1
14	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	compute_missing_angles	11/21/2025 21:23:40	11/21/2025 21:23:40	11/21/2025 21:23:56	11/21/2025 21:23:56	hint	1	1	1	Single-KC	15	compute_missing_angles	1
15	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	compute_missing_sides	11/21/2025 21:23:42	11/21/2025 21:23:42	11/21/2025 21:23:58	11/21/2025 21:23:58	hint	1	1	1	Single-KC	16	compute_missing_sides	1
16	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/ASA: A=30, C=60, a=10	1	compute_unknown_by_cosine	11/21/2025 21:23:43	11/21/2025 21:23:43		11/21/2025 21:23:43	incorrect	1	0	0	Single-KC	17	compute_unknown_by_cosine	2
17	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	normalize_inputs	11/21/2025 21:24:05	11/21/2025 21:24:05	11/21/2025 21:24:05	11/21/2025 21:24:05	correct	0	1	0	Single-KC	18	normalize_inputs	3
18	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	resolve_ssa_ambiguity	11/21/2025 21:24:06	11/21/2025 21:24:06		11/21/2025 21:24:09	incorrect	2	0	0	Single-KC	19	resolve_ssa_ambiguity	2
19	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	backfill_with_sines_if_needed	11/21/2025 21:24:07	11/21/2025 21:24:07		11/21/2025 21:24:07	incorrect	1	0	0	Single-KC	20	backfill_with_sines_if_needed	3
20	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	classify_triangle	11/21/2025 21:24:08	11/21/2025 21:24:08	11/21/2025 21:24:08	11/21/2025 21:24:08	correct	0	1	0	Single-KC	21	classify_triangle	3
21	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	apply_pythagorean	11/21/2025 21:24:10	11/21/2025 21:24:10		11/21/2025 21:24:10	hint	0	0	1	Single-KC	22	apply_pythagorean	1
22	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	compute_unknown_by_cosine	11/21/2025 21:24:11	11/21/2025 21:24:11		11/21/2025 21:24:11	incorrect	1	0	0	Single-KC	23	compute_unknown_by_cosine	3
23	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	use_trig_ratios	11/21/2025 21:24:12	11/21/2025 21:24:12		11/21/2025 21:24:12	hint	0	0	1	Single-KC	24	use_trig_ratios	1
24	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	compute_missing_angles	11/21/2025 21:24:13	11/21/2025 21:24:13		11/21/2025 21:24:17	incorrect	2	0	0	Single-KC	25	compute_missing_angles	2
25	b81dc774-094f-4608-97a4-e2e4aff6405b	solve_triangle/Right triangle: a=3, b=4	1	compute_missing_sides	11/21/2025 21:24:14	11/21/2025 21:24:14		11/21/2025 21:24:18	incorrect	2	0	0	Single-KC	26	compute_missing_sides	2
